성명,전화번호,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
김희윤,4321-1667,3,4,5,5,4,3,2,2,5,2,4,3,5,2,5,1,4,4,4,4
박서윤,9310-7475,5,4,5,3,5,3,2,4,5,5,3,1,4,4,3,4,2,2,5,3
문지용,8637-7207,5,4,1,3,3,3,5,5,5,2,3,1,3,4,5,5,2,5,3,3
유정빈,9962-3371,5,4,4,3,2,3,2,2,5,2,3,4,1,2,5,4,2,5,5,5
이원정,9140-3343,4,2,3,1,4,3,4,5,4,5,5,2,5,1,3,4,3,5,2,3
이서은,8762-9044,5,4,1,3,4,3,2,2,5,2,3,1,4,2,3,5,4,2,5,3
이승원,2550-2241,5,4,2,3,1,3,2,2,5,2,3,1,4,2,5,4,4,5,3,5
김준원,8424-2348,5,4,2,3,4,3,2,2,5,5,3,4,4,5,5,2,3,5,3,5
정아림,9248-9946,4,2,4,3,3,3,1,5,2,1,4,4,4,2,5,5,4,2,5,4
곽명현,8638-4739,3,2,1,3,1,3,5,5,5,5,3,3,4,2,5,4,5,4,4,5
박준혁,4901-8219,5,2,1,3,3,3,1,2,5,5,5,4,3,2,5,4,5,1,3,5
곽준석,5139-2570,5,4,2,1,2,3,2,2,5,2,3,1,4,2,5,1,2,5,5,3
한지원,4378-1272,5,4,4,3,4,3,2,2,5,2,5,1,4,2,5,5,4,3,5,3
여현지,7190-0335,4,2,1,4,3,5,2,2,3,5,4,1,4,4,5,2,4,3,4,5
정호영,3390-2043,3,4,4,1,3,3,4,2,5,5,3,1,4,2,5,4,4,5,5,4
강민엽,8131-1553,5,2,4,3,1,3,4,2,5,2,3,1,4,2,5,2,2,3,5,4
이수빈,7320-2893,3,2,4,4,5,3,4,2,5,4,4,5,4,1,2,5,3,3,3,1
장정현,9362-5669,5,4,2,3,5,3,2,5,5,2,5,3,4,4,5,4,2,2,5,1
최연우,2895-5114,5,4,2,3,2,2,2,2,5,5,3,1,4,2,5,4,5,5,1,5
오영민,9504-2004,5,2,4,3,3,5,1,5,5,2,3,3,2,5,2,4,4,2,2,2
조세연,8644-1407,5,4,2,3,2,3,2,4,5,5,4,1,3,5,5,2,4, , , 
홍진영,6288-1041,5,2,4,5,3,3,5,5,3,5,1,4,1,1,5,2,4,1,1,1
이도현,2026-5411,4,2,3,1,2,3,3,1,4,5,3,3,3,1,3,4,3,5,4,4
노예진,6661-9231,5,4,4,3,4,1,2,4,3,2,3,3,4,2,5,2,1,5,5,5
이동규,2709-8348,5,1,3,1,4,3,4,2,5,2,3,1,2,2,5,2,2,5,5,3
조서준,3704-3051,5,4,3,1,2,3,2,2,5,2,3,1,4,2,5,4,2,3,3,3
박준희,2724-7649,5,2,4,3,4,3,2,2,5,2,3,1,4,2,5,4,2,1,1,5
김희준,5443-3951,5,4,4,3,2,3,2,2,5,2,3,4,2,2,5,4,2,5,5,5
안해심,9976-1994,5,4,2,3,2,3,4,2,5,2,3,1,4,2,5,1,4,5,3,3
